Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken
CatBoostRegressor,0.75,0.81,0.49,0.77
XGBRegressor,0.75,0.81,0.50,1.32
DecisionTreeRegressor,0.73,0.80,0.51,0.01
RandomForestRegressor,0.73,0.80,0.51,0.20
GradientBoostingRegressor,0.73,0.79,0.51,0.06
ExtraTreesRegressor,0.72,0.79,0.52,0.14
BaggingRegressor,0.71,0.78,0.53,0.02
HistGradientBoostingRegressor,0.66,0.75,0.57,0.25
LGBMRegressor,0.63,0.72,0.60,0.04
ExtraTreeRegressor,0.58,0.68,0.64,0.01
MLPRegressor,0.55,0.66,0.66,0.30
AdaBoostRegressor,0.39,0.54,0.77,0.03
NuSVR,0.38,0.53,0.77,0.01
SVR,0.38,0.53,0.78,0.01
KNeighborsRegressor,0.37,0.52,0.78,0.05
TransformedTargetRegressor,0.23,0.42,0.86,0.01
LinearRegression,0.23,0.42,0.86,0.01
Ridge,0.22,0.41,0.87,0.01
LassoLarsIC,0.20,0.40,0.88,0.01
RidgeCV,0.19,0.39,0.89,0.01
LassoCV,0.18,0.38,0.89,0.07
HuberRegressor,0.18,0.38,0.89,0.04
LassoLarsCV,0.18,0.38,0.89,0.02
ElasticNetCV,0.18,0.38,0.89,0.06
SGDRegressor,0.17,0.38,0.89,0.01
BayesianRidge,0.17,0.37,0.90,0.02
LinearSVR,0.14,0.35,0.91,0.01
OrthogonalMatchingPursuitCV,-0.03,0.23,1.00,0.01
TweedieRegressor,-0.03,0.22,1.00,0.02
PassiveAggressiveRegressor,-0.07,0.20,1.02,0.01
OrthogonalMatchingPursuit,-0.08,0.18,1.02,0.01
LarsCV,-0.09,0.18,1.03,0.02
Lasso,-0.34,-0.01,1.14,0.01
DummyRegressor,-0.34,-0.01,1.14,0.00
LassoLars,-0.34,-0.01,1.14,0.01
ElasticNet,-0.34,-0.01,1.14,0.01
QuantileRegressor,-0.38,-0.04,1.15,3.30
KernelRidge,-2.12,-1.35,1.73,0.01
Lars,-40.15,-29.96,6.30,0.01
GaussianProcessRegressor,-4759.481767,-3581.630608,67.76935611,0.066384077
RANSACRegressor,-4.51E+24,-3.39E+24,2.09E+12,0.15370512
