,np,bacteria,bac_type,np_synthesis,method,shape,reference,kingdom,phylum,class,order,family,genus,gram,isolated_from,source,concentration,mol_weight (g/mol),np_size_avg (nm),time_set,"min_Incub_period, h","growth_temp, C",Valance_electron,labuteASA,tpsa,CrippenMR,chi0v
397,ZnO,Pseudomonas aeruginosa,opportunistic pathogen,chemical_synthesis,MIC,spherical,https://www.cell.com/heliyon/fulltext/S2405-8440(18)35282-4?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS2405844018352824%3Fshowall%3Dtrue,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,n,soil,7,1.591064607,81.3794,50,24,24,37,8,22.60496136,17.07,0.6865,4.082482905
398,ZnO,Pseudomonas aeruginosa,opportunistic pathogen,chemical_synthesis,MBEC,spherical,https://www.cell.com/heliyon/fulltext/S2405-8440(18)35282-4?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS2405844018352824%3Fshowall%3Dtrue,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,n,soil,7,3.096910013,81.3794,50,24,24,37,8,22.60496136,17.07,0.6865,4.082482905
399,ZnO,Candida albicans,pathogenic,chemical_synthesis,MIC,spherical,https://www.cell.com/heliyon/fulltext/S2405-8440(18)35282-4?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS2405844018352824%3Fshowall%3Dtrue,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida,f,mouth,7,2.494154594,81.3794,50,24,48,37,8,22.60496136,17.07,0.6865,4.082482905
400,ZnO,Candida albicans,pathogenic,chemical_synthesis,MBEC,spherical,https://www.cell.com/heliyon/fulltext/S2405-8440(18)35282-4?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS2405844018352824%3Fshowall%3Dtrue,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida,f,mouth,7,2.494154594,81.3794,50,24,48,37,8,22.60496136,17.07,0.6865,4.082482905
401,ZnO,Enterococcus faecalis,pathogenic,chemical_synthesis,MIC,spherical,https://www.cell.com/heliyon/fulltext/S2405-8440(18)35282-4?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS2405844018352824%3Fshowall%3Dtrue,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,p,urine,7,1.591064607,81.3794,50,24,24,37,8,22.60496136,17.07,0.6865,4.082482905
402,ZnO,Enterococcus faecalis,pathogenic,chemical_synthesis,MBEC,spherical,https://www.cell.com/heliyon/fulltext/S2405-8440(18)35282-4?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS2405844018352824%3Fshowall%3Dtrue,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,p,urine,7,3.096910013,81.3794,50,24,24,37,8,22.60496136,17.07,0.6865,4.082482905
403,ZnO,Escherichia coli,pathogenic,chemical_synthesis,MIC,spherical,https://www.cell.com/heliyon/fulltext/S2405-8440(18)35282-4?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS2405844018352824%3Fshowall%3Dtrue,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,n,urine,7,1.591064607,81.3794,50,24,48,37,8,22.60496136,17.07,0.6865,4.082482905
404,ZnO,Escherichia coli,pathogenic,chemical_synthesis,MBEC,spherical,https://www.cell.com/heliyon/fulltext/S2405-8440(18)35282-4?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS2405844018352824%3Fshowall%3Dtrue,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,n,urine,7,2.795880017,81.3794,50,24,48,37,8,22.60496136,17.07,0.6865,4.082482905
405,ZnO,Staphylococcus aureus,pathogenic,chemical_synthesis,MIC,spherical,https://www.cell.com/heliyon/fulltext/S2405-8440(18)35282-4?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS2405844018352824%3Fshowall%3Dtrue,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,p,skin,7,1.892094603,81.3794,50,24,24,37,8,22.60496136,17.07,0.6865,4.082482905
406,ZnO,Staphylococcus aureus,pathogenic,chemical_synthesis,MBEC,spherical,https://www.cell.com/heliyon/fulltext/S2405-8440(18)35282-4?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS2405844018352824%3Fshowall%3Dtrue,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,p,skin,7,2.795880017,81.3794,50,24,24,37,8,22.60496136,17.07,0.6865,4.082482905
249,ZnO,Bacillus subtilis,non-pathogenic,green_synthesis,MIC,hexagonal,https://doi.org/10.1016/j.physb.2020.412563,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,p,soil,6,1.698970004,81.3794,38,24,0.16,30,8,22.60496136,17.07,0.6865,4.082482905
250,ZnO,Bacillus subtilis,non-pathogenic,green_synthesis,MIC,hexagonal,https://doi.org/10.1016/j.physb.2020.412563,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,p,soil,6,1.698970004,81.3794,27.43,24,0.16,30,8,22.60496136,17.07,0.6865,4.082482905
251,ZnO,Bacillus subtilis,non-pathogenic,green_synthesis,MIC,hexagonal,https://doi.org/10.1016/j.physb.2020.412563,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,p,soil,6,1.698970004,81.3794,26.38,24,0.16,30,8,22.60496136,17.07,0.6865,4.082482905
252,ZnO,Bacillus subtilis,non-pathogenic,green_synthesis,MIC,hexagonal,https://doi.org/10.1016/j.physb.2020.412563,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,p,soil,6,1.096910013,81.3794,41.23,24,0.16,30,8,22.60496136,17.07,0.6865,4.082482905
253,ZnO,Escherichia coli,pathogenic,green_synthesis,MIC,hexagonal,https://doi.org/10.1016/j.physb.2020.412563,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,n,urine,6,1.397940009,81.3794,38,24,48,37,8,22.60496136,17.07,0.6865,4.082482905
254,ZnO,Escherichia coli,pathogenic,green_synthesis,MIC,hexagonal,https://doi.org/10.1016/j.physb.2020.412563,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,n,urine,6,1.397940009,81.3794,27.43,24,48,37,8,22.60496136,17.07,0.6865,4.082482905
255,ZnO,Escherichia coli,pathogenic,green_synthesis,MIC,hexagonal,https://doi.org/10.1016/j.physb.2020.412563,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,n,urine,6,1.397940009,81.3794,26.38,24,48,37,8,22.60496136,17.07,0.6865,4.082482905
256,ZnO,Escherichia coli,pathogenic,green_synthesis,MIC,hexagonal,https://doi.org/10.1016/j.physb.2020.412563,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,n,urine,6,1.397940009,81.3794,41.23,24,48,37,8,22.60496136,17.07,0.6865,4.082482905
