,np,bacteria,bac_type,np_synthesis,method,shape,reference,kingdom,phylum,class,order,family,genus,gram,isolated_from,source,concentration,mol_weight (g/mol),np_size_avg (nm),time_set,"min_Incub_period, h","growth_temp, C",Valance_electron,labuteASA,tpsa,CrippenMR,chi0v
0,Ag,Bacillus subtilis,non-pathogenic,green_synthesis,MIC,spherical,https://doi.org/10.1007/s10876-020-01759-x,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,p,soil,0,0.9084850188786497,107.8682,20.0,24,0.16,30,11,23.00188061,0.0,0.0,1.78376517
1,Ag,Bacillus subtilis,non-pathogenic,green_synthesis,MBC,spherical,https://doi.org/10.1007/s10876-020-01759-x,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,p,soil,0,0.9912260756924949,107.8682,20.0,24,0.16,30,11,23.00188061,0.0,0.0,1.78376517
4,Ag,Klebsiella pneumoniae,opportunistic pathogen,green_synthesis,MIC,spherical,https://doi.org/10.1007/s10876-020-01759-x,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,n,respiratory tract,0,0.9084850188786497,107.8682,20.0,24,24.0,30,11,23.00188061,0.0,0.0,1.78376517
5,Ag,Klebsiella pneumoniae,opportunistic pathogen,green_synthesis,MBC,spherical,https://doi.org/10.1007/s10876-020-01759-x,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,n,respiratory tract,0,0.9912260756924949,107.8682,20.0,24,24.0,30,11,23.00188061,0.0,0.0,1.78376517
6,Ag,Pseudomonas aeruginosa,opportunistic pathogen,green_synthesis,MIC,spherical,https://doi.org/10.1007/s10876-020-01759-x,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,n,soil,0,0.7993405494535817,107.8682,20.0,24,24.0,37,11,23.00188061,0.0,0.0,1.78376517
7,Ag,Pseudomonas aeruginosa,opportunistic pathogen,green_synthesis,MBC,spherical,https://doi.org/10.1007/s10876-020-01759-x,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,n,soil,0,0.9084850188786497,107.8682,20.0,24,24.0,37,11,23.00188061,0.0,0.0,1.78376517
8,Ag,Escherichia coli,pathogenic,green_synthesis,MIC,spherical,https://doi.org/10.1007/s10876-020-01759-x,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,n,urine,0,0.6020599913279624,107.8682,20.0,24,48.0,37,11,23.00188061,0.0,0.0,1.78376517
9,Ag,Escherichia coli,pathogenic,green_synthesis,MBC,spherical,https://doi.org/10.1007/s10876-020-01759-x,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,n,urine,0,0.7993405494535817,107.8682,20.0,24,48.0,37,11,23.00188061,0.0,0.0,1.78376517
10,Ag,Staphylococcus aureus,pathogenic,green_synthesis,MIC,spherical,https://doi.org/10.1007/s10876-020-01759-x,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,p,skin,0,0.6020599913279624,107.8682,20.0,24,24.0,37,11,23.00188061,0.0,0.0,1.78376517
11,Ag,Staphylococcus aureus,pathogenic,green_synthesis,MBC,spherical,https://doi.org/10.1007/s10876-020-01759-x,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,p,skin,0,0.7993405494535817,107.8682,20.0,24,24.0,37,11,23.00188061,0.0,0.0,1.78376517
