generations,Avg_mean_10,Avg_max_1-,Avg_mean_50,Avg_max_50,Avg_mean_100,Avg_max_100,Avg_mean_70,Avg_max_70
1,0.11061249,0.567663374,0.129860643,0.757545302,0.188284097,0.91394743,0.166916972,0.821307353
2,0.153621614,0.567663374,0.124916685,0.757545302,0.195874179,0.91394743,0.173847641,0.821307353
3,0.237589055,0.730461123,0.206292996,0.812573482,0.269728948,0.925268053,0.253972643,0.850361734
4,0.285490172,0.730461123,0.265916761,0.812573482,0.303228328,0.925268053,0.284152792,0.900542355
5,0.319811309,0.739394931,0.292206297,0.859779472,0.343372271,0.925268053,0.299504652,0.900542355
6,0.335124316,0.739394931,0.317722777,0.865837025,0.348188493,0.925268053,0.321447144,0.900542355
7,0.35883615,0.739394931,0.298009392,0.865837025,0.350057195,0.925268053,0.317935717,0.90167839
8,0.41158108,0.739394931,0.32542742,0.912346336,0.365708996,0.945252004,0.315397205,0.90167839
9,0.380052162,0.739394931,0.364049955,0.912346336,0.353796819,0.945252004,0.325638037,0.90167839
10,0.346808876,0.739394931,0.331014611,0.912346336,0.394622453,0.945252004,0.330641384,0.90167839
11,0.36446065,0.739394931,0.318730709,0.951347659,0.370029242,0.945252004,0.356590979,0.910787821
12,0.440439251,0.750464855,0.34407994,0.960069893,0.393176747,0.945252004,0.350479966,0.910787821
13,0.425315291,0.750464855,0.369035736,0.960069893,0.389841331,0.945252004,0.362284024,0.910787821
14,0.390220417,0.750464855,0.374166413,0.960069893,0.384606592,0.945252004,0.386322294,0.910787821
15,0.395553042,0.750464855,0.376340201,0.960069893,0.398337547,0.945252004,0.414276028,0.910787821
16,0.382097692,0.855797077,0.380693327,0.960069893,0.382219218,0.945252004,0.396295952,0.942341144
17,0.422156164,0.855797077,0.398577179,0.960069893,0.413130879,0.945252004,0.416089237,0.942341144
18,0.419762865,0.855797077,0.371026878,0.960069893,0.389231024,0.945252004,0.400778796,0.942341144
19,0.446204797,0.855797077,0.421078849,0.960069893,0.407522731,0.945252004,0.417387668,0.954803549
20,0.396182642,0.855797077,0.384675949,0.964666132,0.435473053,0.945252004,0.430162261,0.954803549
21,0.424008071,0.855797077,0.417917008,0.964666132,0.414811445,0.945252004,0.423371504,0.954803549
22,0.382117404,0.855797077,0.394043032,0.964666132,0.408315646,0.945252004,0.433428866,0.954803549
23,0.428593235,0.855797077,0.433451457,0.964666132,0.420776242,0.945252004,0.413857603,0.954803549
24,0.447378493,0.855797077,0.408994333,0.964666132,0.405754075,0.945252004,0.422929337,0.954803549
25,0.465439852,0.855797077,0.454914981,0.964666132,0.432546341,0.945252004,0.415593829,0.954803549
26,0.485481755,0.855797077,0.423600364,0.964666132,0.420448357,0.945252004,0.448115925,0.971414627
27,0.413057676,0.855797077,0.435430593,0.964666132,0.433913948,1.005535659,0.427737369,0.971414627
28,0.404737832,0.855797077,0.453058254,0.964666132,0.433882688,1.032174456,0.473015963,0.971414627
29,0.456493739,0.855797077,0.426414323,0.964666132,0.436980541,1.032174456,0.453559489,0.971414627
30,0.463336424,0.855797077,0.438104665,0.964666132,0.437420717,1.032174456,0.438605441,0.971414627
31,0.503003057,0.855797077,0.472628857,0.964666132,0.436993097,1.032174456,0.461462416,1.023730716
32,0.439763444,0.855797077,0.455623697,0.964666132,0.440140527,1.032174456,0.441197031,1.023730716
33,0.482163372,0.855797077,0.485657599,0.964666132,0.429363317,1.032174456,0.458125224,1.023730716
34,0.462028176,0.855797077,0.459798755,0.964666132,0.461752399,1.032174456,0.447288749,1.023730716
35,0.519708153,0.855797077,0.44998564,0.964666132,0.436207743,1.032174456,0.467714779,1.023730716
36,0.465796866,0.855797077,0.4594092,0.964666132,0.451336953,1.032174456,0.45769014,1.023730716
37,0.505236328,0.900392021,0.440733922,0.964666132,0.450314758,1.032174456,0.460538861,1.023730716
38,0.519291146,0.900392021,0.456892888,0.9800166,0.447002611,1.032174456,0.472174845,1.023730716
39,0.474733202,0.900392021,0.465176824,0.9800166,0.444798706,1.032174456,0.466268106,1.023730716
40,0.523060963,0.900392021,0.462950855,0.9800166,0.426927226,1.032174456,0.486649508,1.023730716
41,0.515056706,0.900392021,0.453248885,0.9800166,0.428760843,1.032174456,0.483015098,1.038166877
42,0.464620495,0.900392021,0.459420496,0.9800166,0.440597854,1.049851454,0.480806112,1.038166877
