iter	RMSE
0	6.068107994
1	5.79883279
2	5.492982273
3	5.215885914
4	4.974084807
5	4.855994541
6	4.775159565
7	4.572674937
8	4.469475086
9	4.32469189
10	4.24532029
11	4.209406533
12	4.164085427
13	4.118265298
14	4.077691558
15	4.000593948
16	3.949268424
17	3.915128312
18	3.846580819
19	3.768691545
20	3.688602568
21	3.619794307
22	3.540053719
23	3.47736228
24	3.443413382
25	3.373258922
26	3.32289976
27	3.249141139
28	3.193383392
29	3.139291213
30	3.079124189
31	3.045940323
32	3.0064409
33	2.94165673
34	2.930247561
35	2.917387156
36	2.863930485
37	2.830236549
38	2.80427098
39	2.765434316
40	2.737575213
41	2.713007646
42	2.672486344
43	2.664762611
44	2.647401648
45	2.6380448
46	2.593000901
47	2.586137605
48	2.582033609
49	2.570591516
50	2.550203871
51	2.4947857
52	2.49145065
53	2.468002914
54	2.427683985
55	2.42034257
56	2.395312556
57	2.386288806
58	2.368706214
59	2.339490692
60	2.325609185
61	2.305057961
62	2.264500699
63	2.257676751
64	2.230613586
65	2.227732654
66	2.209400373
67	2.180340173
68	2.153448481
69	2.11847681
70	2.104055945
71	2.096511434
72	2.087971471
73	2.064877509
74	2.042525448
75	2.021850378
76	2.00849597
77	1.994205253
78	1.964750087
79	1.945112338
80	1.942902037
81	1.935755634
82	1.912860726
83	1.910421406
84	1.901355531
85	1.888087384
86	1.859703303
87	1.847631052
88	1.839007554
89	1.836331218
90	1.819365574
91	1.815755034
92	1.804640673
93	1.785889395
94	1.775534696
95	1.773450011
96	1.770749686
97	1.762136405
98	1.761038216
99	1.742272638
100	1.735947521
101	1.724030187
102	1.708000062
103	1.69224366
104	1.677704632
105	1.665562354
106	1.645813383
107	1.62884657
108	1.620681387
109	1.605304996
110	1.603494084
111	1.584618102
112	1.580650594
113	1.562384666
114	1.553512884
115	1.541387963
116	1.525715287
117	1.513392978
118	1.510948508
119	1.510284087
120	1.507360542
121	1.503270351
122	1.487660409
123	1.485266273
124	1.476041446
125	1.465515494
126	1.464165434
127	1.457373601
128	1.455415294
129	1.443894711
130	1.430288053
131	1.426896098
132	1.419415601
133	1.409083254
134	1.40141246
135	1.392672517
136	1.384557245
137	1.38227971
138	1.372949422
139	1.371554416
140	1.358853048
141	1.352291123
142	1.34045698
143	1.335300677
144	1.323685055
145	1.313622461
146	1.3014542
147	1.292205645
148	1.28824228
149	1.280249022
150	1.274774172
151	1.267914624
152	1.263786463
153	1.261801149
154	1.26031089
155	1.252046219
156	1.246820013
157	1.243479005
158	1.241553291
159	1.230600417
160	1.230177706
161	1.228882111
162	1.224742282
163	1.220613725
164	1.219600691
165	1.217612192
166	1.21534245
167	1.215043489
168	1.208017665
169	1.199835832
170	1.19953847
171	1.191381152
172	1.188770514
173	1.185776903
174	1.180970677
175	1.175298719
176	1.168692842
177	1.162112266
178	1.156923899
179	1.152439496
180	1.146346432
181	1.137303244
182	1.131070496
183	1.123958132
184	1.119577144
185	1.11079254
186	1.108121251
187	1.10404874
