iter	Passed	Remaining
0	0	462
1	1	470
2	2	454
3	3	446
4	4	439
5	5	435
6	5	395
7	6	393
8	6	391
9	7	394
10	8	397
11	9	394
12	10	392
13	10	389
14	11	391
15	12	390
16	13	392
17	14	391
18	15	393
19	15	392
20	16	391
21	17	392
22	18	391
23	19	390
24	19	389
25	20	389
26	21	388
27	22	389
28	23	389
29	23	388
30	24	387
31	25	385
32	26	384
33	27	384
34	27	384
35	28	383
36	29	382
37	30	381
38	31	382
39	32	382
40	32	382
41	33	382
42	34	382
43	35	379
44	36	380
45	37	379
46	38	379
47	38	379
48	39	378
49	40	377
50	41	377
51	42	375
52	42	374
53	43	373
54	44	372
55	45	372
56	46	371
57	47	371
58	47	370
59	48	369
60	49	368
61	50	367
62	51	367
63	51	366
64	52	365
65	53	365
66	54	364
67	55	362
68	55	361
69	56	360
70	57	360
71	58	359
72	59	358
73	59	357
74	60	357
75	61	356
76	62	355
77	63	355
78	64	354
79	64	353
80	65	352
81	66	350
82	66	349
83	67	348
84	68	347
85	69	346
86	70	346
87	70	345
88	71	344
89	72	343
90	73	342
91	74	341
92	74	340
93	75	340
94	76	339
95	77	337
96	78	336
97	78	336
98	79	335
99	80	334
100	81	333
101	81	332
102	82	331
103	83	330
104	84	329
105	85	328
106	85	327
107	86	327
108	87	326
109	88	325
110	89	325
111	90	324
112	90	324
113	91	323
114	92	322
115	93	321
116	94	321
117	94	320
118	95	320
119	96	319
120	97	318
121	98	317
122	99	317
123	100	316
124	101	316
125	101	315
126	102	315
127	103	314
128	104	314
129	105	313
130	106	312
131	107	312
132	108	311
133	109	310
134	110	310
135	111	310
136	112	309
137	112	309
138	113	308
139	114	307
140	115	306
141	116	305
142	116	304
143	117	304
144	118	303
145	119	302
146	120	301
147	121	301
148	121	300
149	122	299
150	123	298
151	124	298
152	125	297
153	126	296
154	126	295
155	127	294
156	128	294
157	129	293
158	130	292
159	131	292
160	131	290
161	132	290
162	133	289
163	134	288
164	134	286
165	135	286
166	136	285
167	137	283
168	137	283
169	138	282
170	139	280
171	140	280
172	141	279
173	141	278
174	142	278
175	143	277
176	144	276
177	145	276
178	146	275
179	147	274
180	147	273
181	148	272
182	149	272
183	150	271
184	151	270
185	152	270
186	153	269
187	153	268
188	154	267
189	155	267
190	156	266
191	157	265
192	158	264
193	158	263
194	159	262
195	160	261
196	161	260
197	162	260
198	162	259
199	163	258
200	164	257
201	165	256
202	166	256
203	166	255
204	167	254
205	168	253
206	169	252
207	170	252
208	171	251
209	171	250
210	172	249
211	173	249
212	174	248
213	175	247
214	176	246
215	177	245
216	177	245
217	178	244
218	179	243
219	180	242
220	181	242
221	182	241
222	183	240
223	183	239
224	184	238
225	185	237
226	186	237
227	187	236
228	187	235
229	188	234
230	189	233
231	190	232
232	190	231
233	191	230
234	192	229
235	193	229
236	193	228
237	194	227
238	195	226
239	196	225
240	197	225
241	198	224
242	198	223
243	199	222
244	200	222
245	201	221
246	202	220
247	203	219
248	203	218
249	204	217
250	205	217
251	206	216
252	207	215
253	208	214
254	208	213
255	209	212
256	210	211
257	211	211
258	211	210
259	212	209
260	213	208
261	214	207
262	215	207
263	216	206
264	216	205
265	217	204
266	218	203
267	219	202
268	220	202
269	220	201
270	221	200
271	222	199
272	223	198
273	224	198
274	225	197
275	226	196
276	226	195
277	227	194
278	228	194
279	229	193
280	230	192
281	230	191
282	231	190
283	232	189
284	233	189
285	234	188
286	234	187
287	235	186
288	236	185
289	237	184
290	238	184
291	238	183
292	239	182
293	240	181
294	241	180
295	241	179
296	242	178
297	243	178
298	244	177
299	245	176
300	245	175
301	246	174
302	247	174
303	248	173
304	249	172
305	249	171
306	250	170
307	251	169
308	251	168
309	252	167
310	253	167
311	254	166
312	255	165
313	255	164
314	256	163
315	257	163
316	258	162
317	259	161
318	260	160
319	260	159
320	261	158
321	262	158
322	263	157
323	264	156
324	264	155
325	265	154
326	266	154
327	267	153
328	268	152
329	268	151
330	269	150
331	270	149
332	271	149
333	271	148
334	272	147
335	273	146
336	274	145
337	275	144
338	276	144
339	276	143
340	277	142
341	278	141
342	279	140
343	279	139
344	280	139
345	281	138
346	282	137
347	283	136
348	283	135
349	284	135
350	285	134
351	286	133
352	287	132
353	288	131
354	288	131
355	289	130
356	290	129
357	291	128
358	292	127
359	293	127
360	293	126
361	294	125
362	295	124
363	296	123
364	297	122
365	297	122
366	298	121
367	299	120
368	300	119
369	301	118
370	301	117
371	302	117
372	303	116
373	304	115
374	305	114
375	305	113
376	306	113
377	307	112
378	308	111
379	309	110
380	310	109
381	311	109
382	311	108
383	312	107
384	313	106
385	314	105
386	315	105
387	315	104
388	316	103
389	317	102
390	318	101
391	319	101
392	320	100
393	320	99
394	321	98
395	322	97
396	323	96
397	324	96
398	340	99
399	341	99
400	342	98
401	343	97
402	344	96
403	345	95
404	346	94
