Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken
XGBRegressor,0.85,0.88,2.16,1.30
CatBoostRegressor,0.81,0.85,2.42,0.84
ExtraTreesRegressor,0.78,0.83,2.59,0.17
RandomForestRegressor,0.76,0.81,2.74,0.24
LGBMRegressor,0.74,0.79,2.85,0.04
HistGradientBoostingRegressor,0.74,0.79,2.85,0.26
BaggingRegressor,0.74,0.79,2.85,0.03
GradientBoostingRegressor,0.64,0.72,3.30,0.10
DecisionTreeRegressor,0.56,0.66,3.68,0.01
ExtraTreeRegressor,0.41,0.54,4.25,0.01
AdaBoostRegressor,0.38,0.52,4.37,0.07
KNeighborsRegressor,0.13,0.32,5.18,0.05
TransformedTargetRegressor,-0.02,0.21,5.60,0.01
LinearRegression,-0.02,0.21,5.60,0.01
RidgeCV,-0.03,0.20,5.62,0.02
LassoLarsCV,-0.04,0.20,5.64,0.03
LassoCV,-0.04,0.20,5.64,0.14
Ridge,-0.05,0.19,5.67,0.01
LassoLarsIC,-0.05,0.18,5.68,0.02
HuberRegressor,-0.08,0.16,5.76,0.03
PoissonRegressor,-0.11,0.14,5.83,0.02
SVR,-0.11,0.14,5.84,0.02
SGDRegressor,-0.11,0.14,5.85,0.01
NuSVR,-0.11,0.13,5.85,0.01
ElasticNetCV,-0.13,0.12,5.88,0.08
BayesianRidge,-0.13,0.12,5.90,0.03
LinearSVR,-0.18,0.09,6.01,0.01
MLPRegressor,-0.19,0.08,6.04,0.36
OrthogonalMatchingPursuitCV,-0.20,0.07,6.06,0.02
LarsCV,-0.20,0.07,6.07,0.02
TweedieRegressor,-0.20,0.06,6.08,0.01
GammaRegressor,-0.21,0.06,6.10,0.01
ElasticNet,-0.22,0.05,6.13,0.01
LassoLars,-0.23,0.04,6.15,0.01
Lasso,-0.23,0.04,6.15,0.01
OrthogonalMatchingPursuit,-0.25,0.03,6.20,0.01
DummyRegressor,-0.29,0.00,6.29,0.01
QuantileRegressor,-0.35,-0.05,6.43,3.82
PassiveAggressiveRegressor,-0.76,-0.37,7.35,0.01
KernelRidge,-7.50,-5.60,16.15,0.01
GaussianProcessRegressor,-921.55,-715.69,168.32,0.03
Lars,-1353379.414,-1051385.437,6446.70,0.01
RANSACRegressor,-8.39E+17,-6.52E+17,5076836702,0.15
