,Unnamed: 0,source,np,bacteria,bac_type,np_synthesis,method,shape,reference,kingdom,phylum,class,order,family,genus,gram,isolated_from,concentration,np_size_avg (nm),zoi_np,"min_Incub_period, h","avg_Incub_period, h","growth_temp, C",Valance_electron,amw,NumHeteroatoms,kappa1,kappa2,kappa3,Phi,predicted
0,131,8,CuO,Bacillus subtilis,non-pathogenic,green_synthesis,disk_diffusion,spheroidal,https://www.tandfonline.com/doi/abs/10.1080/01932691.2020.1791719,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,p,soil,10000.0,12.0,15.96,0.16,7.08,30,17,79.545,2,2.319480519,1.319480519,1.44956182,1.53025468,17.198880813223976
1,132,8,CuO,Bacillus subtilis,non-pathogenic,green_synthesis,disk_diffusion,spheroidal,https://www.tandfonline.com/doi/abs/10.1080/01932691.2020.1791719,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,p,soil,25000.0,12.0,22.2,0.16,7.08,30,17,79.545,2,2.319480519,1.319480519,1.44956182,1.53025468,19.381730943294148
2,133,8,CuO,Bacillus subtilis,non-pathogenic,green_synthesis,disk_diffusion,spheroidal,https://www.tandfonline.com/doi/abs/10.1080/01932691.2020.1791719,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,p,soil,10000.0,12.0,18.33,0.16,7.08,30,17,79.545,2,2.319480519,1.319480519,1.44956182,1.53025468,17.198880813223976
3,134,8,CuO,Bacillus subtilis,non-pathogenic,green_synthesis,disk_diffusion,spheroidal,https://www.tandfonline.com/doi/abs/10.1080/01932691.2020.1791719,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,p,soil,25000.0,12.0,20.73,0.16,7.08,30,17,79.545,2,2.319480519,1.319480519,1.44956182,1.53025468,19.381730943294148
4,135,8,CuO,Bacillus subtilis,non-pathogenic,green_synthesis,disk_diffusion,spheroidal,https://www.tandfonline.com/doi/abs/10.1080/01932691.2020.1791719,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,p,soil,10000.0,12.0,18.83,0.16,7.08,30,17,79.545,2,2.319480519,1.319480519,1.44956182,1.53025468,17.198880813223976
5,136,8,CuO,Bacillus subtilis,non-pathogenic,green_synthesis,disk_diffusion,spheroidal,https://www.tandfonline.com/doi/abs/10.1080/01932691.2020.1791719,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,p,soil,25000.0,12.0,23.23,0.16,7.08,30,17,79.545,2,2.319480519,1.319480519,1.44956182,1.53025468,19.381730943294148
6,137,8,CuO,Staphylococcus aureus,pathogenic,green_synthesis,disk_diffusion,spheroidal,https://www.tandfonline.com/doi/abs/10.1080/01932691.2020.1791719,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,p,skin,10000.0,12.0,6.1,24.0,36.0,37,17,79.545,2,2.319480519,1.319480519,1.44956182,1.53025468,8.24904643638602
7,138,8,CuO,Staphylococcus aureus,pathogenic,green_synthesis,disk_diffusion,spheroidal,https://www.tandfonline.com/doi/abs/10.1080/01932691.2020.1791719,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,p,skin,25000.0,12.0,7.0,24.0,36.0,37,17,79.545,2,2.319480519,1.319480519,1.44956182,1.53025468,11.322364030822794
8,139,8,CuO,Staphylococcus aureus,pathogenic,green_synthesis,disk_diffusion,spheroidal,https://www.tandfonline.com/doi/abs/10.1080/01932691.2020.1791719,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,p,skin,10000.0,12.0,6.82,24.0,36.0,37,17,79.545,2,2.319480519,1.319480519,1.44956182,1.53025468,8.24904643638602
9,140,8,CuO,Staphylococcus aureus,pathogenic,green_synthesis,disk_diffusion,spheroidal,https://www.tandfonline.com/doi/abs/10.1080/01932691.2020.1791719,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,p,skin,25000.0,12.0,8.67,24.0,36.0,37,17,79.545,2,2.319480519,1.319480519,1.44956182,1.53025468,11.322364030822794
