Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken
XGBRegressor,0.44,0.70,3.83,1.68
CatBoostRegressor,0.42,0.69,3.90,1.95
RandomForestRegressor,0.32,0.63,4.22,2.55
HistGradientBoostingRegressor,0.27,0.61,4.37,1.18
ExtraTreesRegressor,0.24,0.59,4.46,0.43
BaggingRegressor,0.22,0.58,4.50,0.08
LGBMRegressor,0.21,0.58,4.52,0.27
GradientBoostingRegressor,0.18,0.56,4.61,0.24
AdaBoostRegressor,0.01,0.47,5.07,0.15
MLPRegressor,-0.09,0.41,5.34,3.07
KNeighborsRegressor,-0.11,0.40,5.39,0.09
DecisionTreeRegressor,-0.13,0.39,5.43,0.02
ExtraTreeRegressor,-0.16,0.38,5.50,0.02
RidgeCV,-0.22,0.35,5.63,0.11
BayesianRidge,-0.22,0.34,5.65,0.05
LassoLarsCV,-0.23,0.34,5.66,0.13
LassoLarsIC,-0.23,0.34,5.66,0.06
SGDRegressor,-0.23,0.34,5.67,0.06
Ridge,-0.23,0.34,5.67,0.04
ElasticNetCV,-0.24,0.34,5.68,0.36
LassoCV,-0.25,0.33,5.72,0.52
LinearSVR,-0.26,0.33,5.72,0.03
PoissonRegressor,-0.26,0.32,5.73,0.04
TransformedTargetRegressor,-0.27,0.32,5.75,0.08
LinearRegression,-0.27,0.32,5.75,0.04
HuberRegressor,-0.30,0.30,5.82,0.11
NuSVR,-0.38,0.26,6.00,0.04
SVR,-0.38,0.26,6.00,0.20
OrthogonalMatchingPursuitCV,-0.41,0.24,6.06,0.04
OrthogonalMatchingPursuit,-0.41,0.24,6.06,0.01
TweedieRegressor,-0.43,0.23,6.11,0.06
LarsCV,-0.45,0.22,6.14,0.15
ElasticNet,-0.50,0.19,6.26,0.01
Lasso,-0.54,0.17,6.34,0.05
LassoLars,-0.54,0.17,6.34,0.01
QuantileRegressor,-0.93,-0.04,7.10,23.57
DummyRegressor,-0.94,-0.04,7.11,0.01
PassiveAggressiveRegressor,-3.08,-1.19,10.32,0.01
KernelRidge,-7.06,-3.32,14.50,0.04
GaussianProcessRegressor,-23179.94,-12427.34,777.27,0.14
RANSACRegressor,-2.76E+21,-1.48E+21,2.68E+11,0.89
Lars,-6.23E+36,-3.34E+36,1.27E+19,0.02
