,source,np,bacteria,bac_type,np_synthesis,method,shape,reference,kingdom,phylum,class,order,family,genus,gram,isolated_from,concentration,np_size_avg (nm),zoi_np,"min_Incub_period, h","avg_Incub_period, h","growth_temp, C",Valance_electron,amw,NumHeteroatoms,kappa1,kappa2,kappa3,Phi
0,0,Ag,Escherichia coli,pathogenic,green_synthesis,disk_diffusion,spherical,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7012269/,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,n,urine,170,15,26,48,84,37,11,107.868,1,1.74025974,0.091136933,2.143768512,0.158601936
1,0,Ag,Escherichia coli,pathogenic,green_synthesis,disk_diffusion,spherical,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7012269/,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,n,urine,85,15,20,48,84,37,11,107.868,1,1.74025974,0.091136933,2.143768512,0.158601936
2,0,Ag,Escherichia coli,pathogenic,green_synthesis,disk_diffusion,spherical,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7012269/,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,n,urine,42.5,15,15,48,84,37,11,107.868,1,1.74025974,0.091136933,2.143768512,0.158601936
3,0,Ag,Escherichia coli,pathogenic,green_synthesis,disk_diffusion,spherical,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7012269/,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,n,urine,21.25,15,16,48,84,37,11,107.868,1,1.74025974,0.091136933,2.143768512,0.158601936
4,0,Ag,Escherichia coli,pathogenic,green_synthesis,disk_diffusion,spherical,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7012269/,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,n,urine,10.625,15,15,48,84,37,11,107.868,1,1.74025974,0.091136933,2.143768512,0.158601936
5,0,Ag,Escherichia coli,pathogenic,green_synthesis,disk_diffusion,spherical,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7012269/,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,n,urine,0.31,15,14,48,84,37,11,107.868,1,1.74025974,0.091136933,2.143768512,0.158601936
6,0,Ag,Escherichia coli,pathogenic,green_synthesis,disk_diffusion,spherical,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7012269/,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,n,urine,2.65,15,13,48,84,37,11,107.868,1,1.74025974,0.091136933,2.143768512,0.158601936
7,0,Ag,Escherichia coli,pathogenic,green_synthesis,disk_diffusion,spherical,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7012269/,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,n,urine,1.33,15,11,48,84,37,11,107.868,1,1.74025974,0.091136933,2.143768512,0.158601936
8,0,Ag,Staphylococcus aureus,pathogenic,green_synthesis,disk_diffusion,spherical,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7012269/,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,p,skin,170,15,27,24,36,37,11,107.868,1,1.74025974,0.091136933,2.143768512,0.158601936
9,0,Ag,Staphylococcus aureus,pathogenic,green_synthesis,disk_diffusion,spherical,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7012269/,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,p,skin,85,15,22,24,36,37,11,107.868,1,1.74025974,0.091136933,2.143768512,0.158601936
10,0,Ag,Staphylococcus aureus,pathogenic,green_synthesis,disk_diffusion,spherical,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7012269/,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,p,skin,42.5,15,19,24,36,37,11,107.868,1,1.74025974,0.091136933,2.143768512,0.158601936
11,0,Ag,Staphylococcus aureus,pathogenic,green_synthesis,disk_diffusion,spherical,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7012269/,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,p,skin,21.25,15,15,24,36,37,11,107.868,1,1.74025974,0.091136933,2.143768512,0.158601936
12,0,Ag,Staphylococcus aureus,pathogenic,green_synthesis,disk_diffusion,spherical,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7012269/,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,p,skin,10.625,15,14,24,36,37,11,107.868,1,1.74025974,0.091136933,2.143768512,0.158601936
13,0,Ag,Staphylococcus aureus,pathogenic,green_synthesis,disk_diffusion,spherical,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7012269/,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,p,skin,0.31,15,13,24,36,37,11,107.868,1,1.74025974,0.091136933,2.143768512,0.158601936
14,0,Ag,Staphylococcus aureus,pathogenic,green_synthesis,disk_diffusion,spherical,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7012269/,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,p,skin,2.65,15,11,24,36,37,11,107.868,1,1.74025974,0.091136933,2.143768512,0.158601936
15,0,Ag,Salmonella enterica,pathogenic,green_synthesis,disk_diffusion,spherical,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7012269/,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,n,food,170,15,20,12,42,37,11,107.868,1,1.74025974,0.091136933,2.143768512,0.158601936
16,0,Ag,Salmonella enterica,pathogenic,green_synthesis,disk_diffusion,spherical,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7012269/,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,n,food,85,15,18,12,42,37,11,107.868,1,1.74025974,0.091136933,2.143768512,0.158601936
17,0,Ag,Salmonella enterica,pathogenic,green_synthesis,disk_diffusion,spherical,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7012269/,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,n,food,42.5,15,16,12,42,37,11,107.868,1,1.74025974,0.091136933,2.143768512,0.158601936
