generations,average_mean_0.1p,averagemax_0.1p,average_mean_1p,averagemax_1p,average_mean_2p,averagemax_2p,average_mean_5p,averagemax_5p,average_mean_10p,averagemax_10p,avg_mean_20p,avg_max_20p
1,0.855009139,7.732501348,0.676091064,9.067012469,0.347728125,11.89513365,1.029558252,10.38403384,0.424069532,10.4158535,0.498029585,10.21332486
2,1.038673536,7.732501348,1.133373564,9.067012469,0.692200263,11.89513365,1.456036628,10.38403384,0.907690203,10.4158535,1.752430982,13.33578237
3,2.272513905,8.523419062,2.825712395,9.239338875,3.210129038,12.28377946,3.247651686,11.32811228,2.349886362,11.42712847,3.844479274,14.27081076
4,2.788314349,8.523419062,2.523414753,9.239338875,3.400955321,12.28377946,3.616011912,11.32811228,3.199011258,12.67940871,3.815405752,14.27081076
5,2.778483708,9.954702377,3.095926279,10.23783429,3.626539626,13.59460862,3.742173035,11.32811228,4.291315734,13.78652668,4.175997709,14.27081076
6,3.026926074,10.47300148,2.969825023,10.23783429,4.06058624,13.59460862,4.653018066,12.74621137,4.321703006,13.78652668,4.906850852,14.62174892
7,3.07084941,10.47300148,4.014235308,10.23783429,4.136063392,14.58660984,4.588363343,13.27271779,4.854011137,15.66614532,5.067757508,15.59796079
8,3.04667302,10.47300148,3.672586127,10.37045733,4.203728127,14.58660984,4.816369886,13.83497365,4.759276255,16.28440666,5.099945387,15.80541261
9,3.384123488,10.94154231,3.867111068,11.46907934,4.265642668,15.50811386,4.857187556,14.85860252,5.032606759,16.28440666,5.641895682,16.54128456
10,4.265490387,11.75702286,3.926269333,11.46907934,4.88152606,16.24609311,5.395461344,14.85860316,5.119691228,16.67751884,5.356570142,16.54128456
11,4.122081213,11.75702286,4.132103341,11.56144587,4.986467089,16.24609311,5.332928381,14.93609174,5.529864934,18.09511693,5.561904816,16.56218783
12,4.867014551,12.47245852,4.700433104,12.38505618,5.074622242,16.24609311,5.151730798,15.51298269,5.342358253,18.09511693,5.341652705,16.62357903
13,4.812682965,12.47245852,4.483621797,12.43196106,5.176482761,16.24609311,5.832450853,15.85924403,5.501115755,18.45675723,5.852182019,16.62357903
14,4.438144597,12.47245852,4.69301853,13.15772629,5.467713503,16.66622798,5.635798832,15.92165407,5.494770564,18.45675723,5.996113154,16.66399956
15,4.213672251,12.47245852,4.2571501,13.15772629,5.584365796,16.66622798,5.95789458,16.39545027,5.852268556,18.47036743,5.770867302,16.66399956
16,4.783677106,12.47245852,4.972864895,13.15772629,4.981511722,16.7434508,5.985034358,16.39545027,5.929452345,18.47036743,5.927185366,16.66399956
17,4.971539809,12.47245852,4.689235634,14.1233387,5.343555861,16.7434508,5.886908747,16.7195104,5.71017105,18.47036743,6.082818807,16.66399956
18,4.591582179,12.47245852,5.172254027,14.1233387,5.370954115,16.7434508,5.993513455,16.7195104,5.771118881,18.47036743,6.290340822,16.66399956
19,4.776285158,12.47245852,5.20903103,14.1233387,5.526573223,16.7434508,6.108832998,16.7195104,5.766361033,18.63504283,6.016484932,16.66399956
20,4.93725805,12.47245852,5.428199407,14.1233387,5.537819456,17.16784922,6.00169574,16.7195104,5.722599496,18.63504283,6.232374849,17.28515116
21,5.323482424,13.95267423,5.506989744,14.1233387,5.783696761,17.16784922,5.909538604,16.83676847,5.672382702,19.26457723,6.263900525,17.28515116
